Id,Label,0,1,2,3,4,5,6,7
AS56147,AS56147,VN_ASN,10.08,56147,Creative Communication Vietnam Joint Stock Company,"AS56147
Creative Communication Vietnam Joint Stock Company","#8E44AD",transit,
AS56148,AS56148,VN_ASN,8.416,56148,PVcombank,"AS56148
PVcombank","#8E44AD",transit,
AS56149,AS56149,VN_ASN,9.248,56149,Cong ty CP Truyen thong quoc te Incom,"AS56149
Cong ty CP Truyen thong quoc te Incom","#8E44AD",transit,
AS56150,AS56150,VN_ASN,8.624,56150,Viet Solutions Services Trading Company Limited,"AS56150
Viet Solutions Services Trading Company Limited","#8E44AD",transit,
AS56153,AS56153,VN_ASN,8.416,56153,Digital Storage Company Limited,"AS56153
Digital Storage Company Limited","#8E44AD",transit,
AS56155,AS56155,VN_ASN,8.624,56155,Tuong Minh Software Solutions Company Limited,"AS56155
Tuong Minh Software Solutions Company Limited","#8E44AD",transit,
AS56156,AS56156,VN_ASN,8.208,56156,Vietnam Internet Network Information Center,"AS56156
Vietnam Internet Network Information Center","#BDC3C7",stub,
AS56158,AS56158,VN_ASN,8.208,56158,Digital world data online company,"AS56158
Digital world data online company","#BDC3C7",stub,
AS56159,AS56159,VN_ASN,8.832,56159,Sai Gon Join stock commercial Bank,"AS56159
Sai Gon Join stock commercial Bank","#8E44AD",transit,
AS56160,AS56160,VN_ASN,8.416,56160,VIETNIX Solution and Technology Joint Stock Company,"AS56160
VIETNIX Solution and Technology Joint Stock Company","#8E44AD",transit,
AS63730,AS63730,VN_ASN,8.208,63730,VNSO TECHNOLOGY COMPANY,"AS63730
VNSO TECHNOLOGY COMPANY","#BDC3C7",stub,
AS63731,AS63731,VN_ASN,10.496,63731,TIEN PHAT TECHNOLOGY CORPORATION,"AS63731
TIEN PHAT TECHNOLOGY CORPORATION","#8E44AD",transit,
AS63732,AS63732,VN_ASN,8.208,63732,GALAXY PLAY JOINT STOCK COMPANY,"AS63732
GALAXY PLAY JOINT STOCK COMPANY","#BDC3C7",stub,
AS63733,AS63733,VN_ASN,8.832,63733,Thien Binh Software Service Company Limited,"AS63733
Thien Binh Software Service Company Limited","#8E44AD",transit,
AS63734,AS63734,VN_ASN,8.208,63734,365 Online technology joint stock company,"AS63734
365 Online technology joint stock company","#BDC3C7",stub,
AS63735,AS63735,VN_ASN,8.416,63735,Hoatoc company limited,"AS63735
Hoatoc company limited","#8E44AD",transit,
AS63736,AS63736,VN_ASN,8.832,63736,Nam A Commercial Joint Stock Bank,"AS63736
Nam A Commercial Joint Stock Bank","#8E44AD",transit,
