asn,org_name,country,aut_name,rank,cone_asns,cone_prefixes,degree_provider,degree_peer,degree_customer,degree_transit,clique_member
131430,Bao Viet Commercial Joint Stock Bank,VN,BAOVIETBANK-VN,35029,1,4,3,0,0,0,True
131431,,VN,AS131431,78608,1,0,0,0,0,0,False
131432,Cyber Link Service Trading Corporation,VN,ASIACOM-AS-VN,78608,1,0,0,0,0,0,False
131433,,VN,AS131433,78608,1,0,0,0,0,0,False
131434,Scom Technology Join stock company,VN,SCOM-AS-VN,39683,1,5,1,0,0,0,True
131435,Binh Minh Software Service Company Limited,VN,HOABINH-VN,9626,2,21,4,0,1,4,True
131436,Information Technology and Digital Transformation Center - Vietnam Social Security,VN,VSSIC-VN,34295,1,5,5,0,0,0,True
131437,Van Gia Technology Company Limited,VN,VANGIATECH-VN,78608,1,0,0,0,0,0,False
131438,VIETNAM POST,VN,VNPOST-AS-VN,34149,1,4,6,0,0,0,True
131439,VietNam credit information joint stock company,VN,PCB-AS-VN,44757,1,3,4,0,0,0,True
131440,ZINGPLAY VIETNAM COMPANY LIMITED,VN,ZINGPLAY-VN,36223,1,5,2,0,0,0,True
131441,May Chu Viet Company Limited,VN,VIETHOSTING-AS-VN,78608,1,0,0,0,0,0,False
132301,TVL Service Technology Company Limited,VN,TVL-VN,,,,,,,,
133047,,,,,,,,,,,
133935,CMC Telecom Infrastructure Company,VN,CMCTELECOM-VN,78608,1,0,0,0,0,0,False
134481,CMC Telecom Infrastructure Company,VN,CMCTELECOM-VN,78608,1,0,0,0,0,0,False
135665,Vietnam Internet Development Company Limited,VN,VNNET-VN,78608,1,0,0,0,0,0,False
135900,State Data Center - Hanoi Department of Science and Technology,VN,HNSDC-AS-VN,36223,1,1,2,0,0,0,True
135901,Phuong Dong technology solution company limited,VN,MAYCHUNHO-AS-VN,24197,1,12,1,0,0,0,True
135902,Hahalolo Travel Social Network Joint Stock Company,VN,HAHALOLO-AS-VN,78608,1,0,0,0,0,0,False
135903,FFC joint stock company,VN,FFC-AS-VN,78608,1,0,0,0,0,0,False
135904,VINID PAY JOINT STOCK COMPANY,VN,VINIDPAY-AS-VN,49862,1,1,2,0,0,0,True
135905,VIETNAM POSTS AND TELECOMMUNICATIONS GROUP,VN,VNPT-AS-VN,862,44,5844,1,1,37,39,True
135906,BOOKING247 COMPANY LIMITED,VN,BOOKING247-AS-VN,54093,1,1,1,0,0,0,True
