asn,org_name,country,aut_name,rank,cone_asns,cone_prefixes,degree_provider,degree_peer,degree_customer,degree_transit,clique_member,topology_degree,topology_classification,betweenness_centrality,closeness_centrality
153448,Nam Son Development Joint Stock Company,VN,NAMSONVN-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153449,Golden Key Solutions LLC,VN,GDKEY-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153450,STEP TECHNOLOGY INVESTMENT JOINT STOCK COMPANY,VN,CNSTEP-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,1,Stub,0.0,0.335958
153498,Tuyet San Trading Company Limited,VN,TUYETSAN-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153499,CLOUDX JOINT STOCK COMPANY,VN,CTCLOUDX-VN,54093.0,1.0,2.0,1.0,0.0,0.0,0.0,True,1,Stub,0.0,0.386124
153500,1School Education Technology and Solutions Company Limited,VN,ONESCHOOL-VN,49862.0,1.0,3.0,2.0,0.0,0.0,0.0,True,2,Multi-homed,0.000598,0.301531
153501,Pal Vietnam Technology and Trading Joint Stock Company,VN,PALVIETNAM-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,1,Stub,0.0,0.386124
153502,Specialized Web Company Limited,VN,WEBCHUYEN-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153503,MK Technology Trading Company Limited,VN,MK-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153504,HTH Technology Development Company Limited,VN,HTH-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153505,DichvuDark LLC,VN,DICHVUDARK-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153506,Pow Pow LLC,VN,POWCLOUD-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
