asn1,asn2
38726,45903
18403,45556
45903,63743
131374,135905
45899,56148
45538,55305
153647,18403
149107,18403
140766,18403
140824,18403
135947,63733
135967,18403
140766,7552
131354,45903
135953,38731
18403,63752
131381,45899
38248,45896
45903,55318
140774,18403
149117,38731
151870,45899
131364,45903
140810,38732
154406,45899
150828,18403
131127,153013
149127,45899
150857,18403
140810,153416
153439,18403
153536,18403
135905,149089
131427,38731
140770,38731
131412,18403
140825,7602
131412,7552
150887,38733
140810,150820
38727,45899
23962,45903
131380,7552
131351,45557
135905,63735
135936,18403
131389,45899
135924,7552
135904,18403
131417,24173
135946,45899
38249,63731
45552,45896
151858,18403
45538,45903
38732,45903
18403,55324
151922,18403
151922,7552
135955,45899
131436,38731
131397,45899
151917,18403
140815,18403
131398,18403
135977,18403
153651,38732
45899,55317
154247,38732
131426,38731
131419,38735
131429,56160
150820,18403
24086,7552
18403,63760
38726,45896
150895,7602
38736,45899
18403,56141
135909,24088
18403,55320
149160,45899
135951,38731
135911,18403
140801,18403
131364,45899
131429,45899
153433,18403
131357,7552
45899,55311
150895,18403
135916,18403
131423,23962
150890,18403
135939,45899
150890,7552
131419,18403
131380,24173
23962,45899
131363,45899
38248,38731
18403,45896
24173,45899
18403,38248
152975,18403
131423,38733
23962,45896
140751,7552
135943,154091
131125,45899
131435,63733
38731,63765
149107,153500
151911,45903
131347,45899
45903,63741
149139,18403
131365,56147
135952,45903
150862,18403
135905,150861
135971,18403
23962,38738
140768,45899
152990,45899
149107,150873
149109,38731
140822,38731
45899,55309
150900,18403
131418,63768
56147,63764
131418,45899
38731,45551
131413,18403
140822,18403
131429,63736
151867,45899
131429,140764
131438,45903
152969,18403
149150,18403
135974,45899
24088,63751
38737,7552
135925,38738
38731,63740
18403,45557
131129,7552
135905,56146
131371,135964
131342,45899
135905,63739
45903,63749
140809,7552
150869,18403
150821,38731
135921,18403
135928,151865
131343,7552
135926,63731
135905,135998
18403,56149
135905,152933
135905,135918
135927,18403
135905,140806
149096,56147
131375,63747
131122,7552
55311,7552
131379,18403
131379,7552
23899,45899
45543,63741
18403,38735
23899,24088
149136,18403
131127,45903
140810,153983
131367,45538
135912,38731
140810,150862
131354,18403
135947,45903
149107,150850
18403,63739
135912,18403
135989,45899
135982,45899
18403,63754
131403,45896
131364,18403
18403,24085
135952,45896
140813,45896
135957,45899
131418,63733
135905,63763
149161,18403
18403,7552
18403,56144
135905,150838
131438,45899
135935,135947
131438,24088
131404,38731
153543,18403
131382,38731
18403,56148
150905,45899
135905,135928
135990,45896
152945,18403
45546,45903
38247,45903
140832,18403
140789,7552
140829,38732
